File,Class_GT,Class_GT_n,M1,M2,M3,M4,,,,,,,,
o2-01_gr_e03,B,,0.042,0.282,0.051,0.095,,,,,0.036,0.049,0.04,0.045
o2-04_gr_e04,D,,0.025,0.179,0.018,0.263,,,,,0.033,0.071,0.032,0.062
o2-04_gr_e05,D,,0.029,0.116,0.019,0.116,,,,,0.027,0.066,0.037,0.06
o2-04_gr_e06,D,,0.029,0.117,0.021,0.082,,,,,0.03,0.065,0.037,0.052
o2-07_gr_e07,B,,0.04,0.047,0.034,0.041,,,,,0.033,0.029,0.033,0.25
o2-07_gr_e08,B,,0.04,0.044,0.043,0.04,,,,,0.033,0.048,0.039,0.045
o2-07_gr_e09,B,,0.057,0.046,0.049,0.039,,,,,0.034,0.052,0.036,0.057
o2-10_gr_e10,B,,0.031,0.042,0.032,0.043,,,,,0.03,0.057,0.029,0.052
o2-10_gr_e11,A,,0.017,0.068,0.02,0.091,,,,,0.033,0.067,0.028,0.05
o2-10_gr_e12,B,,0.024,0.049,0.023,0.046,,,,,0.055,0.049,0.023,0.072
o2_gr_e01,C,,0.024,0.073,0.068,0.037,,,,,,,,
o2_gr_e02,C,,0.019,0.044,0.057,0.058,,,,,,,,
o2_gr_e03,C,,0.022,0.087,0.077,0.052,,,,,,,,
o2_gr_e04,B,,0.042,0.064,0.05,0.094,,,,,,,,
o2_gr_e05,B,,0.042,0.091,0.035,0.162,,,,,,,,
o2_gr_e06,B,,0.04,0.066,0.035,0.242,,,,,,,,
o2_gr_e07,B,,0.049,0.041,0.074,0.067,,,,,,,,
o2_gr_e08,B,,0.04,0.037,0.086,0.054,,,,,,,,
o2_gr_e09,B,,0.036,0.043,0.082,0.06,,,,,,,,
o2_gr_e10,C,,0.021,0.062,0.063,0.091,,,,,,,,
o2_gr_e11,C,,0.024,0.076,0.048,0.089,,,,,,,,
o2_gr_e12,C,,0.032,0.104,0.092,0.063,,,,,,,,
o3_gr_e01,B,,0.04,0.047,0.036,0.043,,,,,,,,
o3_gr_e02,B,,0.042,0.046,0.039,0.045,,,,,,,,
o3_gr_e03,B,,0.035,0.049,0.04,0.043,,,,,,,,
o3_gr_e04,C,,0.028,0.082,0.051,0.037,,,,,,,,
o3_gr_e05,B,,0.026,0.048,0.044,0.053,,,,,,,,
o3_gr_e06,B,,0.029,0.035,0.042,0.048,,,,,,,,
o3_gr_e07,C,,0.028,0.052,0.043,0.034,,,,,,,,
o3_gr_e08,B,,0.031,0.047,0.041,0.048,,,,,,,,
o3_gr_e09,C,,0.026,0.053,0.05,0.041,,,,,,,,
o3_gr_e10,B,,0.045,0.036,0.04,0.043,,,,,,,,
o3_gr_e11,B,,0.039,0.036,0.036,0.042,,,,,,,,
o3_gr_e12,B,,0.043,0.032,0.039,0.04,,,,,,,,
o4_gr_e01,A,,0.013,0.032,0.014,0.041,,,,,,,,
o4_gr_e02,A,,0.011,0.034,0.013,0.046,,,,,,,,
o4_gr_e03,A,,0.012,0.039,0.011,0.038,,,,,,,,
o4_gr_e04,A,,0.013,0.021,0.021,0.04,,,,,,,,
o4_gr_e05,A,,0.013,0.022,0.019,0.038,,,,,,,,
o4_gr_e06,A,,0.014,0.024,0.021,0.049,,,,,,,,
o4_gr_e07,A,,,,,,,,,,,,,
o4_gr_e08,A,,,,,,,,,,,,,
o4_gr_e09,A,,,,,,,,,,,,,
o4_gr_e10,A,,,,,,,,,,,,,
o4_gr_e11,A,,,,,,,,,,,,,
o4_gr_e12,A,,,,,,,,,,,,,
o5-01_gr_e01,B,,,,,,,,,,,,,
o5-01_gr_e02,B,,,,,,,,,,,,,
o5-01_gr_e03,B,,,,,,,,,,,,,
o5-04_gr_e04,D,,,,,,,,,,,,,
o5-04_gr_e05,D,,,,,,,,,,,,,
o5-04_gr_e06,D,,,,,,,,,,,,,
o5-07_gr_e07,B,,,,,,,,,,,,,
o5-07_gr_e08,B,,,,,,,,,,,,,
o5-07_gr_e09,B,,,,,,,,,,,,,
o5-10_gr_e10,A,,,,,,,,,,,,,
o5-10_gr_e11,A,,,,,,,,,,,,,
o5-10_gr_e12,A,,,,,,,,,,,,,
o5_gr_e01,B,,,,,,,,,,,,,
o5_gr_e02,B,,,,,,,,,,,,,
o5_gr_e03,B,,,,,,,,,,,,,
o5_gr_e04,B,,,,,,,,,,,,,
o5_gr_e05,B,,,,,,,,,,,,,
o5_gr_e06,B,,,,,,,,,,,,,
o5_gr_e07,C,,,,,,,,,,,,,
o5_gr_e08,B,,,,,,,,,,,,,
o5_gr_e09,B,,,,,,,,,,,,,
o5_gr_e10,B,,,,,,,,,,,,,
o5_gr_e11,B,,,,,,,,,,,,,
o5_gr_e12,C,,,,,,,,,,,,,
