File,Class_GT,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16
o2_gr_e07,D,0.28,0.28,0.24,0.146,0.098,0.168,0.07,0.08,0.081,0.082,0.106,0.104,0.28,0.28,0.274,0.232
o2_gr_e08,D,0.28,0.28,0.251,0.129,0.136,0.113,0.053,0.067,0.086,0.088,0.1,0.088,0.28,0.28,0.263,0.202
o2_gr_e09,D,0.28,0.28,0.276,0.128,0.116,0.142,0.071,0.073,0.081,0.093,0.102,0.093,0.28,0.28,0.255,0.199
o2_gr_e10,D,0.042,0.095,0.263,0.28,0.021,0.065,0.105,0.114,0.157,0.194,0.146,0.111,0.28,0.28,0.28,0.28
o2_gr_e11,D,0.047,0.151,0.265,0.28,0.02,0.071,0.108,0.103,0.138,0.18,0.137,0.112,0.28,0.28,0.28,0.28
o2_gr_e12,D,0.131,0.268,0.28,0.28,0.044,0.076,0.145,0.073,0.176,0.167,0.113,0.082,0.28,0.28,0.28,0.28
o3_gr_can,Z,0.056,0.051,0.076,0.021,0.027,0.104,0.04,0.025,0.038,0.081,0.05,0.016,0.061,0.08,0.06,0.016
o3_gr_e01,D,0.221,0.219,0.209,0.203,0.043,0.054,0.057,0.063,0.039,0.051,0.058,0.061,0.191,0.194,0.171,0.187
o3_gr_e02,D,0.227,0.213,0.213,0.213,0.044,0.054,0.062,0.063,0.041,0.054,0.063,0.067,0.215,0.203,0.193,0.182
o3_gr_e03,D,0.209,0.218,0.211,0.208,0.04,0.051,0.057,0.065,0.045,0.053,0.059,0.056,0.223,0.206,0.184,0.17
o3_gr_e04,E,0.058,0.131,0.23,0.24,0.026,0.059,0.096,0.107,0.048,0.057,0.055,0.06,0.237,0.226,0.195,0.104
o3_gr_e05,D,0.114,0.153,0.179,0.194,0.024,0.037,0.05,0.059,0.06,0.069,0.063,0.051,0.24,0.231,0.229,0.232
o3_gr_e06,D,0.169,0.179,0.162,0.175,0.03,0.036,0.042,0.058,0.063,0.064,0.055,0.044,0.24,0.234,0.225,0.22
o3_gr_e07,E,0.14,0.163,0.171,0.206,0.026,0.043,0.068,0.09,0.046,0.055,0.055,0.061,0.226,0.24,0.203,0.103
o3_gr_e08,D,0.177,0.201,0.168,0.18,0.033,0.046,0.059,0.071,0.056,0.069,0.073,0.072,0.233,0.24,0.217,0.199
o3_gr_e09,E,0.106,0.104,0.127,0.191,0.052,0.035,0.07,0.102,0.102,0.049,0.06,0.086,0.2,0.207,0.176,0.112
o3_gr_e10,D,0.24,0.229,0.205,0.133,0.043,0.049,0.052,0.053,0.047,0.055,0.059,0.062,0.195,0.194,0.177,0.173
o3_gr_e11,D,0.224,0.197,0.178,0.167,0.047,0.053,0.05,0.051,0.044,0.052,0.055,0.055,0.193,0.19,0.183,0.153
o3_gr_e12,D,0.24,0.232,0.198,0.135,0.044,0.051,0.05,0.06,0.05,0.055,0.056,0.052,0.219,0.199,0.168,0.159
o4_gr_can,Z,0.043,0.035,0.028,0.025,0.014,0.016,0.057,0.024,0.06,0.021,0.079,0.031,0.054,0.017,0.064,0.021
o4_gr_e01,A,0.052,0.056,0.072,0.082,0.018,0.025,0.037,0.085,0.013,0.028,0.048,0.096,0.028,0.048,0.061,0.093
o4_gr_e02,A,0.054,0.052,0.049,0.09,0.009,0.023,0.05,0.088,0.012,0.031,0.051,0.117,0.025,0.05,0.069,0.121
o4_gr_e03,A,0.03,0.04,0.066,0.086,0.008,0.025,0.055,0.079,0.019,0.023,0.042,0.097,0.013,0.032,0.058,0.092
o4_gr_e04,C,0.064,0.052,0.066,0.04,0.062,0.02,0.037,0.048,0.018,0.033,0.051,0.066,0.043,0.069,0.097,0.136
o4_gr_e05,C,0.051,0.058,0.063,0.044,0.022,0.035,0.033,0.044,0.017,0.031,0.049,0.063,0.041,0.063,0.087,0.127
o4_gr_e06,C,0.053,0.033,0.062,0.043,0.035,0.02,0.044,0.054,0.018,0.037,0.056,0.077,0.042,0.073,0.099,0.146
o4_gr_e07,A,0.087,0.043,0.073,0.041,0.047,0.018,0.035,0.057,0.017,0.034,0.054,0.078,0.042,0.066,0.086,0.108
o4_gr_e08,A,0.015,0.036,0.046,0.063,0.01,0.022,0.046,0.056,0.014,0.028,0.043,0.082,0.033,0.046,0.063,0.08
o4_gr_e09,A,0.065,0.045,0.037,0.055,0.014,0.022,0.041,0.061,0.016,0.037,0.059,0.082,0.037,0.064,0.083,0.117
o4_gr_e10,B,0.023,0.055,0.091,0.157,0.02,0.033,0.061,0.107,0.056,0.039,0.038,0.055,0.069,0.026,0.036,0.049
o4_gr_e11,B,0.09,0.029,0.071,0.135,0.033,0.027,0.058,0.106,0.02,0.026,0.045,0.095,0.04,0.043,0.051,0.07
o4_gr_e12,B,0.033,0.05,0.084,0.155,0.022,0.032,0.059,0.099,0.047,0.027,0.039,0.057,0.08,0.027,0.061,0.05
o5_gr_can,Z,0.006,0.054,0.082,0.007,0.028,0.083,0.084,0.01,0.042,0.085,0.04,0.013,0.02,0.027,0.015,0.014
o5_gr_e01,D,0.218,0.236,0.204,0.19,0.041,0.052,0.061,0.061,0.037,0.045,0.053,0.06,0.192,0.191,0.158,0.134
o5_gr_e02,D,0.24,0.236,0.198,0.181,0.044,0.058,0.064,0.067,0.035,0.046,0.051,0.063,0.201,0.162,0.128,0.111
o5_gr_e03,D,0.207,0.24,0.218,0.2,0.035,0.047,0.053,0.059,0.027,0.048,0.057,0.06,0.236,0.21,0.167,0.154
o5_gr_e04,D,0.112,0.202,0.224,0.24,0.028,0.056,0.077,0.067,0.026,0.048,0.063,0.066,0.094,0.145,0.236,0.24
o5_gr_e05,D,0.061,0.165,0.221,0.24,0.022,0.047,0.076,0.085,0.04,0.055,0.044,0.057,0.144,0.229,0.24,0.24
o5_gr_e06,D,0.085,0.174,0.23,0.24,0.025,0.052,0.079,0.082,0.037,0.052,0.053,0.062,0.172,0.228,0.24,0.236
o5_gr_e07,C,0.24,0.118,0.141,0.057,0.175,0.026,0.036,0.071,0.034,0.081,0.14,0.201,0.064,0.211,0.24,0.24
o5_gr_e08,D,0.154,0.16,0.151,0.144,0.029,0.04,0.051,0.063,0.035,0.055,0.057,0.065,0.189,0.202,0.199,0.167
o5_gr_e09,D,0.122,0.145,0.145,0.143,0.03,0.04,0.061,0.085,0.031,0.056,0.071,0.084,0.08,0.176,0.19,0.215
o5_gr_e10,D,0.113,0.168,0.224,0.227,0.024,0.047,0.067,0.081,0.023,0.044,0.062,0.068,0.065,0.105,0.178,0.236
o5_gr_e11,D,0.114,0.181,0.237,0.24,0.03,0.055,0.078,0.079,0.023,0.04,0.059,0.074,0.061,0.086,0.158,0.219
o5_gr_e12,D,0.229,0.213,0.172,0.137,0.062,0.058,0.06,0.064,0.018,0.045,0.08,0.082,0.043,0.079,0.219,0.24
