File,Class_GT,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16
o2_gr_e04,C,0.149,0.149,0.149,0.149,0.073,0.078,0.105,0.115,0.086,0.11,0.124,0.115,0.149,0.149,0.149,0.149
o2_gr_e05,C,0.161,0.161,0.161,0.161,0.085,0.099,0.115,0.132,0.057,0.093,0.136,0.144,0.143,0.161,0.161,0.161
o2_gr_e06,C,0.153,0.153,0.153,0.153,0.081,0.106,0.09,0.114,0.059,0.091,0.147,0.148,0.144,0.153,0.153,0.153
o2_gr_e07,C,0.158,0.152,0.136,0.151,0.09,0.083,0.071,0.111,0.083,0.099,0.108,0.14,0.158,0.158,0.155,0.158
o2_gr_e08,C,0.143,0.141,0.123,0.136,0.084,0.071,0.06,0.099,0.083,0.096,0.094,0.123,0.143,0.142,0.138,0.142
o2_gr_e09,C,0.153,0.153,0.132,0.144,0.084,0.087,0.065,0.113,0.08,0.102,0.099,0.13,0.153,0.153,0.149,0.153
o2_gr_e10,C,0.052,0.13,0.173,0.173,0.021,0.076,0.114,0.159,0.123,0.133,0.116,0.135,0.173,0.173,0.173,0.173
o2_gr_e11,C,0.057,0.171,0.18,0.18,0.024,0.086,0.106,0.168,0.113,0.134,0.116,0.139,0.18,0.18,0.18,0.18
o2_gr_e12,C,0.115,0.159,0.159,0.159,0.044,0.086,0.122,0.126,0.116,0.111,0.098,0.101,0.159,0.159,0.159,0.159
o3_gr_can,A,0.032,0.022,0.029,0.026,0.019,0.026,0.023,0.029,0.019,0.022,0.024,0.024,0.027,0.022,0.02,0.022
o3_gr_e01,C,0.116,0.117,0.116,0.12,0.041,0.058,0.061,0.072,0.037,0.054,0.06,0.07,0.108,0.113,0.112,0.119
o3_gr_e02,C,0.117,0.117,0.115,0.12,0.04,0.056,0.062,0.076,0.038,0.054,0.062,0.071,0.116,0.115,0.114,0.12
o3_gr_e03,C,0.116,0.12,0.118,0.123,0.038,0.056,0.062,0.085,0.041,0.054,0.059,0.065,0.122,0.118,0.115,0.122
o3_gr_e04,E,0.063,0.106,0.147,0.147,0.023,0.065,0.095,0.132,0.041,0.055,0.054,0.069,0.145,0.139,0.116,0.107
o3_gr_e05,C,0.093,0.093,0.107,0.123,0.023,0.038,0.053,0.076,0.054,0.066,0.048,0.055,0.131,0.13,0.131,0.131
o3_gr_e06,C,0.102,0.099,0.104,0.122,0.029,0.039,0.044,0.067,0.054,0.063,0.046,0.055,0.13,0.131,0.13,0.132
o3_gr_e07,E,0.074,0.117,0.13,0.136,0.027,0.056,0.085,0.125,0.046,0.053,0.056,0.081,0.13,0.129,0.106,0.119
o3_gr_e08,C,0.102,0.112,0.115,0.13,0.033,0.052,0.066,0.099,0.053,0.066,0.071,0.087,0.127,0.131,0.126,0.131
o3_gr_e09,E,0.054,0.088,0.124,0.135,0.02,0.049,0.093,0.129,0.043,0.054,0.072,0.108,0.121,0.121,0.113,0.124
o3_gr_e10,C,0.122,0.119,0.108,0.103,0.038,0.051,0.053,0.054,0.043,0.055,0.061,0.061,0.115,0.117,0.118,0.12
o3_gr_e11,C,0.116,0.11,0.098,0.105,0.046,0.055,0.053,0.055,0.041,0.054,0.058,0.058,0.111,0.11,0.108,0.109
o3_gr_e12,C,0.121,0.117,0.106,0.104,0.042,0.052,0.053,0.066,0.048,0.055,0.057,0.055,0.118,0.114,0.11,0.118
o4_gr_can,A,0.019,0.016,0.017,0.026,0.015,0.015,0.021,0.025,0.023,0.018,0.025,0.026,0.022,0.016,0.022,0.022
o4_gr_e01,B,0.047,0.036,0.045,0.058,0.028,0.023,0.036,0.058,0.03,0.024,0.043,0.067,0.025,0.044,0.06,0.073
o4_gr_e02,B,0.06,0.039,0.044,0.054,0.028,0.022,0.039,0.061,0.027,0.025,0.048,0.074,0.029,0.043,0.065,0.081
o4_gr_e03,B,0.045,0.038,0.05,0.065,0.02,0.023,0.042,0.064,0.034,0.026,0.042,0.063,0.037,0.03,0.048,0.063
o4_gr_e04,B,0.065,0.039,0.049,0.041,0.049,0.027,0.033,0.05,0.031,0.031,0.051,0.067,0.044,0.067,0.093,0.107
o4_gr_e05,B,0.059,0.04,0.056,0.05,0.033,0.025,0.039,0.043,0.033,0.029,0.047,0.062,0.04,0.06,0.085,0.105
o4_gr_e06,B,0.065,0.037,0.044,0.044,0.043,0.022,0.04,0.054,0.043,0.032,0.054,0.076,0.046,0.066,0.095,0.111
o4_gr_e07,B,0.069,0.043,0.054,0.053,0.038,0.018,0.036,0.058,0.031,0.033,0.055,0.08,0.041,0.066,0.086,0.106
o4_gr_e08,B,0.028,0.03,0.039,0.056,0.017,0.02,0.036,0.058,0.02,0.025,0.042,0.061,0.043,0.042,0.056,0.067
o4_gr_e09,B,0.059,0.042,0.039,0.046,0.041,0.019,0.038,0.061,0.032,0.031,0.055,0.082,0.036,0.058,0.081,0.099
o4_gr_e10,B,0.046,0.048,0.089,0.106,0.038,0.028,0.058,0.087,0.053,0.031,0.037,0.056,0.073,0.026,0.039,0.051
o4_gr_e11,B,0.076,0.025,0.067,0.096,0.039,0.022,0.055,0.083,0.036,0.028,0.042,0.074,0.056,0.041,0.05,0.067
o4_gr_e12,B,0.051,0.043,0.08,0.103,0.035,0.027,0.054,0.082,0.05,0.033,0.037,0.058,0.077,0.029,0.045,0.05
o5_gr_can,A,0.023,0.016,0.021,0.011,0.023,0.022,0.023,0.017,0.022,0.022,0.022,0.02,0.027,0.021,0.021,0.021
o5_gr_e01,C,0.113,0.115,0.11,0.115,0.041,0.055,0.061,0.093,0.037,0.049,0.056,0.091,0.111,0.112,0.109,0.117
o5_gr_e02,C,0.12,0.119,0.113,0.117,0.044,0.058,0.062,0.09,0.034,0.046,0.055,0.09,0.114,0.11,0.107,0.116
o5_gr_e03,C,0.12,0.125,0.12,0.125,0.035,0.048,0.059,0.096,0.033,0.05,0.06,0.095,0.13,0.125,0.121,0.13
o5_gr_e04,C,0.084,0.123,0.13,0.13,0.03,0.061,0.075,0.113,0.029,0.057,0.068,0.099,0.089,0.123,0.13,0.13
o5_gr_e05,C,0.064,0.109,0.121,0.122,0.033,0.055,0.083,0.107,0.041,0.053,0.071,0.092,0.109,0.122,0.122,0.122
o5_gr_e06,C,0.073,0.116,0.125,0.125,0.028,0.06,0.085,0.108,0.04,0.052,0.064,0.091,0.115,0.125,0.125,0.124
o5_gr_e07,E,0.158,0.107,0.113,0.117,0.114,0.055,0.057,0.094,0.041,0.085,0.151,0.172,0.07,0.171,0.172,0.172
o5_gr_e08,C,0.095,0.1,0.101,0.116,0.029,0.044,0.061,0.096,0.038,0.055,0.062,0.087,0.114,0.119,0.117,0.119
o5_gr_e09,C,0.104,0.102,0.117,0.134,0.06,0.042,0.068,0.113,0.035,0.057,0.079,0.109,0.099,0.134,0.14,0.144
o5_gr_e10,C,0.078,0.118,0.129,0.13,0.028,0.054,0.077,0.11,0.025,0.052,0.069,0.107,0.068,0.115,0.128,0.13
o5_gr_e11,C,0.084,0.119,0.125,0.125,0.031,0.064,0.081,0.111,0.025,0.048,0.069,0.105,0.065,0.103,0.123,0.125
o5_gr_e12,E,0.139,0.129,0.112,0.131,0.061,0.056,0.056,0.104,0.023,0.055,0.086,0.133,0.046,0.111,0.14,0.141
